epoch,speaker_utterance,ground_truth
54,<sos> yellow yellow yellow yellow yellow yellow yellow yellow <eos>,<sos> yellow circle <eos>
54,<sos> shape <UNK> <UNK> gray rectangle red <UNK> rectangle <eos>,<sos> circle <eos>
54,<sos> square square red square square red square red <eos>,<sos> rectangle <eos>
54,<sos> ellipse ellipse ellipse ellipse ellipse ellipse white ellipse <eos>,<sos> ellipse <eos>
54,<sos> white white white white white white white white <eos>,<sos> circle <eos>
54,<sos> yellow white red white red ellipse yellow,<sos> square <eos>
54,<sos> red red red red red red red red <eos>,<sos> red shape <eos>
54,<sos> green yellow green green green green green yellow <eos>,<sos> green shape <eos>
54,<sos> rectangle rectangle rectangle rectangle rectangle rectangle rectangle rectangle <eos>,<sos> rectangle <eos>
54,<sos> blue blue blue red blue blue blue blue <eos>,<sos> square <eos>
54,<sos> red red red red red red rectangle red <eos>,<sos> white circle <eos>
54,<sos> white white white white square white square white <eos>,<sos> white shape <eos>
54,<sos> blue green blue blue blue green blue blue <eos>,<sos> rectangle <eos>
54,<sos> white white white white white white white white <eos>,<sos> white shape <eos>
54,<sos> yellow rectangle circle red gray circle circle square <eos>,<sos> square <eos>
54,<sos> yellow yellow yellow yellow yellow yellow yellow yellow <eos>,<sos> yellow shape <eos>
54,<sos> yellow rectangle yellow rectangle rectangle rectangle rectangle yellow <eos>,<sos> yellow shape <eos>
54,<sos> yellow yellow yellow yellow yellow yellow yellow yellow <eos>,<sos> yellow shape <eos>
54,<sos> ellipse ellipse yellow ellipse ellipse green ellipse green <eos>,<sos> circle <eos>
54,<sos> yellow yellow yellow white yellow yellow white yellow <eos>,<sos> circle <eos>
54,<sos> green green rectangle green green green rectangle green <eos>,<sos> green shape <eos>
54,<sos> white white white white white white white white <eos>,<sos> circle <eos>
54,<sos> red red red red red red red red <eos>,<sos> red shape <eos>
54,<sos> ellipse white white ellipse white white ellipse ellipse <eos>,<sos> ellipse <eos>
54,<sos> red green red red red red red square <eos>,<sos> circle <eos>
54,<sos> white white white white white white white white <eos>,<sos> white square <eos>
54,<sos> red red red red red red red red <eos>,<sos> circle <eos>
54,<sos> yellow yellow yellow yellow yellow yellow yellow yellow <eos>,<sos> square <eos>
54,<sos> yellow yellow yellow yellow yellow square yellow yellow <eos>,<sos> yellow ellipse <eos>
54,<sos> red red red ellipse red green green red <eos>,<sos> red square <eos>
54,<sos> ellipse yellow green ellipse green green yellow red <eos>,<sos> green shape <eos>
54,<sos> green rectangle green green square rectangle square blue <eos>,<sos> green shape <eos>
